소분류,발생,검거,검거비율
살인,282,277,0.982270
영아살해,8,7,0.875000
존속살해,32,31,0.968750
촉탁·승락살인,1,1,1.000000
자살교사·방조,33,32,0.969697
살인,527,530,1.005693
존속살해,23,22,0.956522
자살교사·방조,8,9,1.125000
강도,213,219,1.028169
준강도,139,135,0.971223
특수강도,343,349,1.017493
준특수강도,4,5,1.250000
강도상해·치상,398,403,1.012563
강도살인·치사,22,22,1.000000
인질강도,10,11,1.100000
강도강간,16,20,1.250000
(특수·인질·해상)강도(상습),1,1,1.000000
특가법(강도),2,2,1.000000
특가법(강도상해재범),1,1,1.000000
강간,2151,2125,0.987913
강간(상습),1,1,1.000000
준강간,934,922,0.987152
강간상해·치상,371,367,0.989218
강간살인·치사,4,4,1.000000
미성년자간음(심신미약자),9,10,1.111111
업무상위력에의한간음,18,18,1.000000
친족관계에의한강간,162,160,0.987654
장애인에대한강간·간음,362,353,0.975138
청소년에대한강간·간음,649,639,0.984592
미성년자의제강간,40,40,1.000000
13세미만미성년자강간·간음,86,87,1.011628
특수강간(준),220,227,1.031818
주거침입강간,120,115,0.958333
특수절도강간,3,3,1.000000
특수강도강간,25,26,1.040000
유사강간,306,298,0.973856
준유사강간,48,47,0.979167
유사강간상해·치상,25,24,0.960000
미성년자의제유사강간,2,2,1.000000
유사성행위,185,184,0.994595
주거침입유사강간,13,10,0.769231
특수강도유사강간,4,3,0.750000
강제추행,9978,9563,0.958408
강제추행(상습),14,14,1.000000
준강제추행,675,657,0.973333
강제추행상해·치상,164,157,0.957317
업무상위력등에의한추행,291,290,0.996564
친족관계에의한강제추행,276,275,0.996377
장애인에대한강제추행·추행,363,353,0.972452
청소년에대한강제추행·추행,1549,1515,0.978050
미성년자추행(심신미약자),3,3,1.000000
미성년자의제강제추행,9,9,1.000000
13세미만미성년자강제추행·추행,792,737,0.930556
공중밀집장소에서의추행,1722,1604,0.931475
특수강제추행(준),42,40,0.952381
주거침입강제추행,169,162,0.958580
특수절도강제추행,7,5,0.714286
강간등상해·치상,130,128,0.984615
강간등살인·치사,4,4,1.000000
장애인에대한준강간등,32,31,0.968750
청소년에대한강간등,154,156,1.012987
13세미만미성년자강간등,20,19,0.950000
주거침입강간등,40,42,1.050000
특수절도강간등,1,1,1.000000
특수강도강간등,26,27,1.038462
성폭력범죄의처벌및피해자보호등에관한법률위반,1,0,0.000000
현주·공용건조물등방화,896,854,0.953125
현주건조물등방화치상,23,22,0.956522
현주건조물등방화치사,15,13,0.866667
일반건조물등방화,392,314,0.801020
자기소유건조물등방화,27,28,1.037037
방화연소,24,17,0.708333
폭발성물건파열(치사·상),11,10,0.909091
폭발성물건파열(과실),22,21,0.954545
가스등방출(치사·상),33,30,0.909091
가스등방출(과실),1,1,1.000000
가스등공급사용방해(치사·상),5,2,0.400000
가스등공급사용방해(과실),8,8,1.000000
자동차방화,45,43,0.955556
절도,175765,93400,0.531391
절도(상습),3123,3250,1.040666
특수절도,15506,14549,0.938282
특수절도(상습),449,484,1.077951
야간주거침입절도,7065,5929,0.839207
야간주거침입절도(상습),276,275,0.996377
불법사용,518,419,0.808880
불법사용(상습),1,1,1.000000
특가법(절도),334,290,0.868263
상해,49368,48092,0.974153
상해(중),77,74,0.961039
상해(상습),34,34,1.000000
상해치사,59,58,0.983051
존속상해,368,364,0.989130
존속상해(중),1,1,1.000000
존속상해(상습),1,1,1.000000
존속상해치사,10,10,1.000000
특가법(보복상해등),53,51,0.962264
아동학대처벌법위반(상습상해),4,4,1.000000
특수상해,16,14,0.875000
특수상해(중),2,2,1.000000
특수상해(상습),5,5,1.000000
존속상해(특수),30,30,1.000000
폭행,152344,144577,0.949017
폭행(상습),91,87,0.956044
폭행치상,1557,1513,0.971741
폭행치사,58,57,0.982759
특수폭행,6944,6684,0.962558
특수폭행(상습),2,2,1.000000
특수폭행치상,94,95,1.010638
존속폭행,1507,1483,0.984074
존속폭행(특수),23,23,1.000000
존속폭행(상습),5,5,1.000000
존속폭행치상,20,20,1.000000
존속폭행치사,2,2,1.000000
특가법(운전자폭행등),3004,2977,0.991012
특가법(보복폭행등),73,73,1.000000
특가법(보복범죄등),64,62,0.968750
아동학대처벌법위반(상습폭행),15,15,1.000000
체포·감금,1076,1015,0.943309
체포·감금(중),32,31,0.968750
체포·감금(특수·특수중),77,77,1.000000
체포·감금(상습·상습중),1,1,1.000000
체포·감금치사상(중·특수·상습),102,97,0.950980
존속체포·감금,22,18,0.818182
존속체포·감금(특수·특수중),1,1,1.000000
존속체포·감금치사상(중·특수·상습),1,1,1.000000
특가법(보복체포·감금등),4,4,1.000000
아동학대처벌법위반(상습체포·감금),2,2,1.000000
협박,7340,6629,0.903134
협박(특수),8143,8039,0.987228
협박(상습),27,23,0.851852
협박(상습특수),2,2,1.000000
존속협박,165,160,0.969697
존속협박(특수),58,58,1.000000
존속협박(상습),1,1,1.000000
존속협박(상습특수),2,2,1.000000
특가법(보복협박등),132,129,0.977273
약취·유인(미성년자),110,99,0.900000
약취·유인(추행·간음·결혼·영리),69,70,1.014493
약취·유인(노동력착취·성매매·성적착취·장기적출),7,7,1.000000
인신매매,2,2,1.000000
인신매매등(노동력착취·성매매·성적착취·장기적출),5,5,1.000000
국외이송약취·유인·인신매매,1,1,1.000000
피약취자·피유인자·피매매자(상해·치상),1,1,1.000000
특가법(13세미만약취·유인),1,1,1.000000
아동복지법위반(아동매매),5,5,1.000000
폭력행위등처벌에관한법률위반(상습),71,71,1.000000
폭력행위등처벌에관한법률위반(공동),11799,11058,0.937198
폭력행위등처벌에관한법률위반(집단 흉기등),826,872,1.055690
폭력행위등처벌에관한법률위반(상습집단 흉기등),22,20,0.909091
폭력행위등처벌에관한법률위반(단체등의구성·활동),83,84,1.012048
폭력행위등처벌에관한법률위반(단체등의[상습·공동·집단흉기등·상습집단흉기등])),94,92,0.978723
폭력행위등처벌에관한법률위반(단체등의이용·지원),4,4,1.000000
폭력행위등처벌에관한법률위반(우범자),403,403,1.000000
공갈,3621,2964,0.818558
공갈(상습),93,93,1.000000
특경법(공갈),13,11,0.846154
특수공갈,18,18,1.000000
손괴의죄,59127,32462,0.549022
직무유기·수행거부,531,336,0.632768
직권남용(권리행사방해·체포·감금),280,172,0.614286
독직폭행·가혹행위,122,84,0.688525
피의사실공표,1,1,1.000000
공무상비밀누설,25,19,0.760000
선거방해,1,1,1.000000
특가법(체포·감금 독직폭행·가혹행위),8,7,0.875000
뇌물수수등,161,149,0.925466
뇌물공여등,66,67,1.015152
특가법(뇌물),20,20,1.000000
