죄종(대),죄종(중),죄종(소),발생,검거,검거인원(남),검거인원(여),검거인원(불상),법인체
강력범죄,살인기수,살인,226,217,218,49,2,0
강력범죄,살인기수,영아살해,7,7,0,6,0,0
강력범죄,살인기수,존속살해,44,43,43,3,0,0
강력범죄,살인기수,촉탁·승낙살인,1,1,1,0,0,0
강력범죄,살인기수,자살교사·방조,30,29,26,9,0,0
강력범죄,살인기수,위계·위력·촉탁·승낙살인,0,0,0,0,0,0
강력범죄,살인기수,특가법(보복살인등),1,1,1,0,0,0
강력범죄,살인미수등,살인,443,440,395,61,5,0
강력범죄,살인미수등,영아살해,0,0,0,0,0,0
강력범죄,살인미수등,존속살해,26,26,23,5,0,0
강력범죄,살인미수등,촉탁·승낙살인,2,2,3,2,0,0
강력범죄,살인미수등,자살교사·방조,16,15,16,13,1,0
강력범죄,살인미수등,위계·위력·촉탁·승낙살인,1,1,1,0,0,0
강력범죄,강도,강도,155,157,133,13,2,0
강력범죄,강도,준강도,100,98,90,7,0,0
강력범죄,강도,특수강도,262,260,398,64,17,0
강력범죄,강도,준특수강도,1,1,1,0,0,0
강력범죄,강도,강도상해·치상,253,254,378,43,5,0
강력범죄,강도,강도살인·치사,19,18,30,3,1,0
강력범죄,강도,해상강도(살인·치사·상해·치상),0,0,0,0,0,0
강력범죄,강도,인질강도,3,3,11,2,0,0
강력범죄,강도,강도강간,24,26,17,0,1,0
강력범죄,강도,(특수·인질·해상)강도(상습),0,0,0,0,0,0
강력범죄,강도,특가법(강도),4,4,3,0,0,0
강력범죄,강도,특가법(강도상해재범),0,0,0,0,0,0
강력범죄,강간,강간,2214,2166,2323,26,13,0
강력범죄,강간,강간(상습),3,3,3,0,0,0
강력범죄,강간,준강간,1074,1066,1143,11,12,0
강력범죄,강간,준강간(상습),3,3,3,0,0,0
강력범죄,강간,강간상해·치상,330,330,345,3,1,0
강력범죄,강간,강간살인·치사,3,4,5,0,0,0
강력범죄,강간,미성년자간음(심신미약자),16,16,23,1,0,0
강력범죄,강간,업무상위력에의한간음,30,29,33,2,0,0
강력범죄,강간,친족관계에의한강간,160,161,158,1,0,0
강력범죄,강간,장애인에대한강간·간음,387,371,439,8,28,0
