죄종(대),죄종(중),죄종(소),발생,검거,검거인원(남자),검거인원(여자),검거인원(불상),법인체
강력범죄,살인기수,살인,225,226,206,48,3,0
강력범죄,살인기수,영아살해,7,7,0,7,0,0
강력범죄,살인기수,존속살해,35,36,28,10,7,0
강력범죄,살인기수,촉탁·승낙살인,1,1,1,0,0,0
강력범죄,살인기수,자살교사·방조,26,26,26,16,5,0
강력범죄,살인기수,위계·위력·촉탁·승낙살인,1,1,0,1,0,0
강력범죄,살인기수,특가법(보복살인등),2,2,4,0,0,0
강력범죄,살인미수등,살인,439,437,423,54,5,0
강력범죄,살인미수등,영아살해,1,1,0,1,0,0
강력범죄,살인미수등,존속살해,30,30,24,7,0,0
강력범죄,살인미수등,촉탁·승낙살인,0,0,0,0,0,0
강력범죄,살인미수등,자살교사·방조,10,11,11,7,0,0
강력범죄,살인미수등,위계·위력·촉탁·승낙살인,2,2,1,1,0,0
강력범죄,강도,강도,127,129,117,17,1,0
강력범죄,강도,준강도,75,77,71,9,0,0
강력범죄,강도,특수강도,316,312,482,58,8,0
강력범죄,강도,준특수강도,5,5,7,1,0,0
강력범죄,강도,강도상해·치상,233,235,475,79,4,0
강력범죄,강도,강도살인·치사,22,22,28,1,0,0
강력범죄,강도,해상강도(살인·치사·상해·치상),0,0,0,0,0,0
강력범죄,강도,인질강도,2,1,2,0,1,0
강력범죄,강도,강도강간,10,11,10,0,0,0
강력범죄,강도,(특수·인질·해상)강도(상습),0,0,0,0,0,0
강력범죄,강도,특가법(강도),7,7,4,0,0,0
강력범죄,강도,특가법(강도상해재범),1,2,1,0,0,0
강력범죄,강간,강간,2265,2215,2432,29,19,0
강력범죄,강간,강간(상습),2,2,1,0,0,0
강력범죄,강간,준강간,1160,1135,1276,9,10,0
강력범죄,강간,준강간(상습),2,2,2,0,0,0
강력범죄,강간,강간상해·치상,328,326,338,5,2,0
강력범죄,강간,강간살인·치사,0,0,0,0,0,0
강력범죄,강간,미성년자간음(심신미약자),6,6,6,0,0,0
강력범죄,강간,업무상위력에의한간음,27,26,37,1,0,0
강력범죄,강간,친족관계에의한강간,116,110,117,5,0,0
강력범죄,강간,장애인에대한강간·간음,350,338,401,3,6,0
강력범죄,강간,청소년에대한강간·간음,598,589,720,12,3,0
강력범죄,강간,미성년자의제강간,71,67,80,0,4,0
강력범죄,강간,13세미만미성년자강간·간음,86,86,100,1,0,0
강력범죄,강간,특수강간(준),207,204,472,31,8,0
강력범죄,강간,주거침입강간,75,75,84,0,1,0
강력범죄,강간,특수절도강간,0,0,0,0,0,0
강력범죄,강간,특수강도강간,17,16,15,0,0,0
강력범죄,강간,아동학대처벌법위반(상습강간·간음),0,0,0,0,0,0
강력범죄,유사강간,유사강간,376,374,400,17,4,0
강력범죄,유사강간,유사강간(상습),0,0,0,0,0,0
강력범죄,유사강간,준유사강간,136,134,155,2,0,0
강력범죄,유사강간,준유사강간(상습),0,0,1,0,0,0
강력범죄,유사강간,유사강간상해·치상,17,15,19,0,0,0
강력범죄,유사강간,유사강간살인·치사,0,0,0,0,0,0
강력범죄,유사강간,미성년자의제유사강간,6,5,9,1,0,0
강력범죄,유사강간,유사성행위,232,225,273,5,4,0
강력범죄,유사강간,주거침입유사강간,14,14,15,0,0,0
